utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count,sveitarfelag_Garðabær,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,tegund_Fjolbyli,tegund_Serbyli
2006-03-31,44850.0,31810.0,201.5,958.9,221.77239144865115,0.36511710416580273,2,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2006-04-30,16480.0,14469.0,87.14,3860.2,188.26019172546498,0.13334020758538195,5,0.0,0.0,1.0,0.0,4.0,5.0,0.0
2006-05-31,24108.2625698324,17551.511173184357,110.84916201117318,3339.527808988765,221.0860673651795,0.7428945920456339,358,23.0,53.0,64.0,9.0,209.0,306.0,52.0
2006-06-30,24124.76971608833,17767.83596214511,110.80189274447942,3393.6668769716084,219.99758259812722,0.6539349903195307,317,15.0,46.0,59.0,8.0,189.0,267.0,50.0
2006-07-31,23432.372881355932,18037.803389830508,108.6793220338983,3403.5559322033887,220.57777088465403,0.49482939375303053,295,15.0,41.0,57.0,10.0,172.0,256.0,39.0
2006-08-31,23838.5,18064.860606060607,108.73848484848475,3191.684545454545,223.13364181994345,0.35998683197267484,330,11.0,40.0,47.0,12.0,220.0,277.0,53.0
2006-09-30,23849.224137931036,17831.82471264368,107.76379310344831,3338.769252873563,224.83501826944288,0.6489093021789244,348,18.0,34.0,64.0,9.0,223.0,296.0,52.0
2006-10-31,23939.934210526317,18031.323684210525,109.31894736842105,3334.715789473683,221.49715991351286,0.4946497905903516,380,15.0,66.0,58.0,13.0,228.0,326.0,54.0
2006-11-30,23812.036885245903,17913.383196721312,109.6325819672131,3354.083401639344,222.54574727032886,0.5496970702048354,488,23.0,75.0,71.0,18.0,301.0,414.0,74.0
2006-12-31,23974.024017467247,18127.781659388645,110.5816593886463,3939.3478165938877,222.47764439792462,0.48241371486998996,458,28.0,53.0,75.0,19.0,283.0,392.0,66.0
2007-01-31,26004.728205128205,20732.871794871793,118.61512820512822,3220.424102564102,224.21370758020106,0.3880945495334866,390,11.0,64.0,59.0,25.0,231.0,318.0,72.0
2007-02-28,26839.988095238095,21279.852040816328,120.26275510204071,3592.527721088435,228.41010871242204,0.4946248507984799,588,34.0,75.0,107.0,15.0,357.0,484.0,104.0
2007-03-31,26525.193633952254,20659.844827586207,117.2790450928382,3311.9091511936354,232.15906684602325,0.42467221885840467,754,47.0,105.0,135.0,38.0,429.0,621.0,133.0
2007-04-30,26004.66876971609,20034.687697160884,113.16593059936906,3389.361198738171,237.05269731741296,0.5061890810251194,634,33.0,84.0,125.0,27.0,365.0,537.0,97.0
2007-05-31,27297.909210526315,20368.66447368421,114.50657894736838,3571.2356578947374,242.55423792825616,0.5034535728103785,760,41.0,99.0,141.0,25.0,454.0,641.0,119.0
2007-06-30,27423.85536159601,20357.97880299252,114.98279301745629,3705.9897755611,243.409515434594,0.47329753415208764,802,53.0,123.0,111.0,37.0,478.0,670.0,132.0
2007-07-31,28605.983695652172,20201.45108695652,115.33967391304346,3524.06480978261,251.59636424200087,0.8175973609977728,736,60.0,110.0,111.0,30.0,425.0,602.0,134.0
2007-08-31,27963.684647302904,20239.882434301522,114.09253112033193,3615.3878284923944,251.3327791010806,0.6099335166961782,723,49.0,119.0,118.0,25.0,412.0,603.0,120.0
2007-09-30,27495.557306590257,20072.477077363896,113.3482808022923,3265.8431232091702,251.949445111516,0.5487541367684461,698,37.0,102.0,125.0,20.0,414.0,593.0,105.0
2007-10-31,29307.193965517243,20826.274425287356,116.90387931034492,3206.7840517241384,258.2080235016318,0.6113826887617065,696,53.0,107.0,133.0,21.0,382.0,570.0,126.0
2007-11-30,29330.15452930728,20482.17939609236,116.32717584369459,3689.860213143874,256.85037850583046,0.7549350495813184,563,41.0,76.0,105.0,18.0,323.0,478.0,85.0
2007-12-31,28689.546012269937,20626.291411042945,116.13957055214723,3593.2015337423313,254.29118233062655,0.6282655395578208,326,20.0,39.0,66.0,13.0,188.0,274.0,52.0
2008-01-31,30600.94298245614,23197.80701754386,118.18377192982457,3277.36798245614,259.63074906850045,0.7475313385377645,228,20.0,31.0,41.0,9.0,127.0,195.0,33.0
2008-02-29,29228.746913580246,22094.60185185185,116.04413580246917,3326.9777777777786,259.9462272903352,0.8487945115944167,324,15.0,52.0,55.0,15.0,187.0,275.0,49.0
2008-03-31,29291.40807174888,23072.946188340808,118.01524663677134,3033.262331838565,256.8384407161108,0.3792049754741673,223,13.0,25.0,30.0,14.0,141.0,183.0,40.0
2008-04-30,27531.00925925926,21548.199074074073,108.43055555555549,3754.2685185185196,259.60517861648077,0.4610377854538911,216,11.0,31.0,38.0,6.0,130.0,174.0,42.0
2008-05-31,26272.0,20898.05442176871,101.6632653061224,3638.625170068028,261.7668616709768,0.4114153474458528,147,11.0,22.0,25.0,5.0,84.0,132.0,15.0
2008-06-30,30385.869565217392,24018.184782608696,118.12173913043478,3773.26847826087,258.55945567577635,0.31428069980546874,92,6.0,13.0,17.0,3.0,53.0,75.0,17.0
2008-07-31,26120.87610619469,21024.269911504423,102.57256637168149,3313.960619469026,258.6390390113266,0.384216838172998,226,21.0,32.0,36.0,8.0,129.0,201.0,25.0
2008-08-31,26209.607843137255,21516.274509803923,105.71421568627446,3590.530882352942,252.77777545921973,0.2255716468665473,204,7.0,27.0,40.0,12.0,118.0,183.0,21.0
2008-09-30,24850.81990521327,20969.55450236967,98.87962085308062,3880.8388625592415,260.5556799167535,0.19945026641397925,211,10.0,33.0,29.0,9.0,130.0,190.0,21.0
2008-10-31,24675.914285714287,21003.417142857143,101.41200000000005,3961.2862857142864,254.50719454399987,0.19614929336003234,175,9.0,28.0,22.0,8.0,108.0,157.0,18.0
2008-11-30,26056.166666666668,21461.98611111111,111.60555555555555,3063.651388888889,241.22775964252207,0.29250479736816115,72,5.0,7.0,18.0,3.0,39.0,61.0,11.0
2008-12-31,24499.06557377049,21517.06557377049,102.52131147540987,2616.180327868852,248.03771991597384,0.3148653800134615,61,6.0,7.0,5.0,1.0,42.0,56.0,5.0
2009-01-31,24413.14285714286,20897.619047619046,98.37619047619049,3623.9166666666665,258.1648865622628,0.17443257766285392,42,3.0,6.0,10.0,3.0,20.0,38.0,4.0
2009-02-28,24412.973684210527,21454.07894736842,106.36315789473684,3675.7947368421055,238.123906477199,0.1319816181370291,38,0.0,3.0,8.0,2.0,25.0,31.0,7.0
2009-03-31,25186.12,23185.8,109.76199999999999,3413.0960000000005,233.00306882133563,0.1032314229834835,50,5.0,5.0,12.0,1.0,27.0,47.0,3.0
2009-04-30,30893.4375,24066.40625,119.29687500000001,2512.8125000000005,251.86364038732577,0.2561428618095507,32,4.0,3.0,7.0,3.0,15.0,28.0,4.0
2009-05-31,24772.48275862069,21418.931034482757,111.51896551724138,3941.1499999999996,228.8986125331217,0.18473162256141032,58,5.0,5.0,11.0,2.0,35.0,49.0,9.0
2009-06-30,25025.45,24432.666666666668,110.46000000000004,3192.9700000000007,229.30669177593967,0.013788143914464585,60,5.0,5.0,14.0,2.0,34.0,50.0,10.0
2009-07-31,21459.593406593405,21306.86813186813,96.81648351648353,3947.2329670329664,236.3301851933988,0.043864369005893675,91,12.0,10.0,7.0,3.0,59.0,80.0,11.0
2009-08-31,24729.95294117647,23141.54117647059,107.32588235294118,3625.4094117647073,233.18374771375875,0.06606560519788875,85,12.0,5.0,17.0,2.0,49.0,75.0,10.0
2009-09-30,23100.634615384617,21894.26923076923,104.18750000000003,3614.2721153846146,230.48476020274595,0.07425231712531816,104,9.0,6.0,23.0,3.0,63.0,90.0,14.0
2009-10-31,25793.62,24264.11,115.726,2927.3399999999992,230.2640836830179,0.05928853975828301,100,9.0,7.0,20.0,4.0,60.0,90.0,10.0
2009-11-30,25476.956896551725,23887.69827586207,119.98879310344822,3970.5137931034487,219.6240877212531,0.1817721334030709,116,23.0,10.0,30.0,4.0,49.0,101.0,15.0
2009-12-31,22941.220930232557,22310.406976744187,105.22441860465118,3838.877906976743,232.66586439251617,0.04936413323387576,86,11.0,6.0,19.0,2.0,48.0,76.0,10.0
2010-01-31,20856.912280701756,20519.824561403508,98.06491228070178,3555.7491228070166,221.46952849810395,0.06436276926895762,57,10.0,3.0,10.0,0.0,34.0,54.0,3.0
2010-02-28,25218.91919191919,23569.555555555555,112.9121212121212,2761.746464646465,226.19918204063288,0.09202965537985185,99,9.0,10.0,26.0,3.0,51.0,83.0,16.0
2010-03-31,26031.575,25494.875,120.90750000000004,3112.0616666666665,220.81507958118848,0.03682827512839713,120,9.0,12.0,23.0,3.0,73.0,94.0,26.0
2010-04-30,25691.186274509804,24267.91176470588,116.80000000000005,3451.049019607843,222.42473351579523,0.05165345166704558,102,10.0,7.0,19.0,2.0,64.0,89.0,13.0
2010-05-31,25644.298387096773,23970.91129032258,112.42177419354843,3621.1524193548394,232.29521603499805,0.07049035795842586,124,11.0,12.0,19.0,2.0,80.0,107.0,17.0
2010-06-30,23548.241134751774,22678.86524822695,108.82269503546104,3502.2219858156022,225.85178143213543,0.07100731316664367,141,20.0,10.0,23.0,4.0,84.0,119.0,22.0
2010-07-31,25900.242236024846,25300.403726708075,119.75962732919258,3664.798757763974,220.60999932835722,0.029786554997450077,161,14.0,17.0,38.0,8.0,84.0,128.0,33.0
2010-08-31,24534.13422818792,23736.845637583894,114.99328859060405,3199.147651006711,220.74085814958957,0.03463433228092611,149,12.0,11.0,25.0,6.0,95.0,128.0,21.0
2010-09-30,26039.70873786408,24539.155339805824,117.50776699029119,3103.6014563106796,226.09790094578128,0.06085594275355651,206,19.0,16.0,44.0,8.0,119.0,174.0,32.0
2010-10-31,25703.01595744681,24338.228723404256,116.13723404255319,3222.3521276595734,225.79104571841566,inf,188,22.0,16.0,20.0,5.0,125.0,158.0,30.0
2010-11-30,24961.122093023256,23609.261627906977,117.4668604651163,3830.9412790697675,220.1721372364588,0.055658197561645036,172,6.0,16.0,36.0,4.0,110.0,145.0,27.0
2010-12-31,25381.684210526317,23218.684210526317,119.81929824561401,3527.4070175438587,218.7809291667532,0.19774829991502746,171,22.0,19.0,24.0,1.0,105.0,141.0,30.0
2011-01-31,26935.221374045803,22854.961832061068,122.34885496183203,3399.0427480916023,224.01282600446748,0.21070635826185347,131,9.0,9.0,19.0,10.0,84.0,110.0,21.0
2011-02-28,25290.130208333332,21561.875,116.0411458333334,2894.3979166666663,224.11317753719536,0.16389989889578144,192,18.0,21.0,29.0,7.0,117.0,157.0,35.0
2011-03-31,25457.011857707508,21719.03162055336,116.85296442687745,3521.366007905138,223.96351921222015,0.17221559469261172,253,20.0,21.0,48.0,11.0,153.0,209.0,44.0
2011-04-30,25823.909090909092,21859.328063241108,116.63873517786556,3194.888142292491,227.9780849768473,0.18875921948007138,253,17.0,19.0,47.0,12.0,158.0,218.0,35.0
2011-05-31,28592.9793814433,22299.553264604812,122.25532646048103,3645.717869415808,236.6613671714574,0.29998739505478916,291,28.0,25.0,64.0,10.0,164.0,240.0,51.0
2011-06-30,26211.451882845187,21623.38912133891,118.58912133891218,3523.0569037656905,228.67080590890288,0.2864695343266751,239,21.0,22.0,41.0,10.0,145.0,201.0,38.0
2011-07-31,26698.73597359736,21519.47194719472,119.49537953795388,3142.9013201320136,232.45277193470278,0.2670170595169752,303,21.0,36.0,54.0,16.0,176.0,249.0,54.0
2011-08-31,26760.009868421053,21359.28947368421,116.9322368421053,3451.5835526315786,233.85254850915717,0.3090102236099912,304,19.0,33.0,50.0,16.0,186.0,252.0,52.0
2011-09-30,27388.695945945947,21254.527027027027,116.67432432432425,3505.5699324324332,240.04029442435757,0.32529441077324517,296,22.0,23.0,61.0,11.0,179.0,248.0,48.0
2011-10-31,27880.851301115243,22049.665427509295,120.48884758364312,4129.62973977695,239.09068268001693,0.28145697646506324,269,20.0,23.0,50.0,4.0,172.0,222.0,47.0
2011-11-30,28523.210344827585,22261.44827586207,121.09827586206899,3502.794827586207,238.77888078236793,0.2912198124598225,290,23.0,34.0,47.0,6.0,180.0,236.0,54.0
2011-12-31,27617.50579150579,21060.84942084942,113.99768339768339,3404.1386100386094,247.46828963980388,0.4418960644561331,259,16.0,38.0,48.0,6.0,151.0,222.0,37.0
2012-01-31,27429.095022624435,23090.76923076923,118.51402714932134,3426.882805429864,238.9559788634876,0.42311706445785047,221,16.0,30.0,34.0,10.0,131.0,182.0,39.0
2012-02-29,27046.0977443609,22654.135338345866,115.81165413533836,3784.534962406014,241.28146508377532,0.3213731357461815,266,19.0,29.0,47.0,5.0,166.0,218.0,48.0
2012-03-31,27566.101449275364,22908.478260869564,115.41268115942033,3185.280434782609,245.16682256300075,0.2736983397986559,276,11.0,23.0,60.0,7.0,175.0,233.0,43.0
2012-04-30,27885.0625,23065.390625,118.1519531249999,3330.1640624999995,243.1572285614172,0.2554993150888836,256,13.0,37.0,58.0,8.0,140.0,210.0,46.0
2012-05-31,28270.5884057971,23461.014492753624,117.55188405797098,3253.9936231884067,248.48070476780833,0.24106411418449253,345,19.0,38.0,71.0,10.0,207.0,278.0,67.0
2012-06-30,29858.45029239766,23810.0,117.60146198830408,3159.826608187135,257.73499754332266,0.27638323311572716,342,31.0,44.0,48.0,6.0,213.0,281.0,61.0
2012-07-31,28673.453287197233,23087.923875432527,116.06920415224918,3396.600692041522,251.26774552932417,0.27280584217204806,289,21.0,27.0,47.0,5.0,189.0,241.0,48.0
2012-08-31,28239.427215189873,22936.898734177215,115.45348101265822,3402.324683544304,250.55792519189725,0.22801973973356285,316,18.0,33.0,48.0,9.0,208.0,263.0,53.0
2012-09-30,26794.17445482866,21647.72585669782,107.63582554517133,3293.286915887852,255.79860958427355,0.30953866256051565,321,19.0,47.0,43.0,8.0,204.0,277.0,44.0
2012-10-31,27843.308860759495,22805.493670886077,111.8524050632911,4033.3673417721516,254.69535759435487,0.24552542635157798,395,21.0,45.0,63.0,9.0,257.0,322.0,73.0
2012-11-30,28980.4375,23375.271739130436,116.5173913043479,3887.695380434782,257.89582514129125,0.3969432052990868,368,25.0,36.0,58.0,12.0,237.0,304.0,64.0
2012-12-31,28221.58785942492,23224.664536741213,111.40319488817889,3031.3019169329073,259.6502185332291,0.46956190428529215,313,15.0,32.0,51.0,7.0,208.0,271.0,42.0
2013-01-31,29060.611570247933,25243.49173553719,116.73057851239675,3730.7739669421494,260.9622235905256,0.30051014977801993,242,17.0,31.0,34.0,7.0,153.0,197.0,45.0
2013-02-28,29619.345762711866,26077.118644067796,116.8349152542373,3275.7644067796614,260.68062073200565,0.14381733177236874,295,12.0,34.0,47.0,12.0,190.0,242.0,53.0
2013-03-31,31951.743975903613,26879.307228915663,127.83012048192764,3227.115662650602,254.09422988130643,0.3278302481163366,332,20.0,40.0,66.0,10.0,196.0,268.0,64.0
2013-04-30,29872.484567901236,24669.382716049382,115.20864197530861,3364.2638888888887,265.75193036981307,0.4662798148474683,324,15.0,45.0,63.0,9.0,192.0,267.0,57.0
2013-05-31,30584.709923664122,25643.19338422392,118.93994910941463,3175.1488549618316,265.8693871558532,0.4677131639127693,393,21.0,47.0,75.0,11.0,239.0,327.0,66.0
2013-06-30,31296.751396648044,25327.751396648044,119.06927374301667,3305.3329608938548,269.8386356859089,0.5065460562940544,358,28.0,40.0,59.0,12.0,219.0,286.0,72.0
2013-07-31,29787.22894736842,25042.144736842107,115.62000000000008,3321.842894736841,266.367730129791,0.4331541830532134,380,28.0,35.0,64.0,14.0,239.0,305.0,75.0
2013-08-31,28726.027027027027,23215.554054054053,110.21270270270271,3472.7891891891886,268.34032936822484,0.4752443852224698,370,22.0,51.0,55.0,6.0,236.0,327.0,43.0
2013-09-30,30881.84109589041,24479.23287671233,116.45287671232877,3634.624657534246,276.1249482701635,0.5623503967902284,365,16.0,56.0,62.0,6.0,225.0,301.0,64.0
2013-10-31,30321.00501253133,24005.47619047619,111.95413533834586,3338.666917293232,280.64789328843017,0.555347092653833,399,32.0,39.0,77.0,8.0,243.0,342.0,57.0
2013-11-30,30244.388732394367,23692.394366197183,112.80140845070419,3404.585070422536,277.90742671022326,0.6444866366574125,355,25.0,44.0,69.0,8.0,209.0,308.0,47.0
2013-12-31,32539.359375,26431.466145833332,120.85156249999993,3518.0289062499996,276.45483394015366,0.4144368306510077,384,10.0,39.0,84.0,13.0,238.0,322.0,62.0
2014-01-31,32475.23140495868,25402.210743801654,112.3219008264463,3740.948760330579,295.385021240488,0.7293497623079046,242,12.0,29.0,47.0,3.0,151.0,206.0,36.0
2014-02-28,32250.977142857144,26529.82857142857,116.54171428571426,3387.7657142857156,285.7198455834437,0.29675244331968,350,21.0,45.0,57.0,11.0,216.0,297.0,53.0
2014-03-31,33285.91055045871,26137.316513761467,118.34724770642204,3167.6038990825678,291.9205214359837,0.6467704157546642,436,39.0,79.0,92.0,12.0,214.0,354.0,82.0
